participant,condition,window_index,head_rotation_rad_min,head_rotation_rad_max,head_rotation_rad_rms,head_rotation_rad_mean,blink_aperture_min,blink_aperture_max,blink_aperture_rms,blink_aperture_mean,mouth_aperture_min,mouth_aperture_max,mouth_aperture_rms,mouth_aperture_mean,pupil_dx_min,pupil_dx_max,pupil_dx_rms,pupil_dx_mean,pupil_dy_min,pupil_dy_max,pupil_dy_rms,pupil_dy_mean,pupil_metric_min,pupil_metric_max,pupil_metric_rms,pupil_metric_mean,center_face_magnitude_min,center_face_magnitude_max,center_face_magnitude_rms,center_face_magnitude_mean,center_face_x_min,center_face_x_max,center_face_x_rms,center_face_x_mean,center_face_y_min,center_face_y_max,center_face_y_rms,center_face_y_mean
402,L,1,-0.288254673,0.391630932,0.164838188,-0.044807947,0.037122359,0.227351443,0.178050449,0.17430409,3.65e-06,0.290294377,0.047385412,0.02374071,-0.020205218,0.015086085,0.006828184,-0.003622901,-0.056706747,0.014429319,0.025467936,-0.023021117,0.020458421,0.076153255,0.046523214,0.045871335,0.01588885,0.720520236,0.235970158,0.195218049,0.007508793,0.4637545,0.162431,0.128060995,0.005595339,0.560816813,0.171166835,0.125374546
402,L,2,-0.362051696,0.358851488,0.149671705,-0.044738637,0.037122359,0.237484308,0.183711441,0.180799564,3.34e-06,0.290294377,0.043393469,0.021116341,-0.019742332,0.015086085,0.006525584,-0.003768265,-0.056706747,0.014931105,0.022837404,-0.020869646,0.02237845,0.076153255,0.045249851,0.044735921,0.01588885,0.495373419,0.214145488,0.18384195,0.00437118,0.411728078,0.159782957,0.123363639,0.005595339,0.345717698,0.142575232,0.118178246
402,L,3,-0.362051696,0.291220151,0.144020553,-0.065698842,0.048106703,0.237484308,0.182393263,0.178542804,1.6e-06,0.249315825,0.042250548,0.020750424,-0.019656533,0.011984927,0.006321143,-0.003812155,-0.050555305,0.014931105,0.022929693,-0.020677237,0.020814745,0.068199396,0.04439453,0.043808512,0.020787954,0.698973749,0.2150429,0.181847921,0.00437118,0.4905782,0.151241737,0.110046838,0.007681075,0.498275143,0.152870487,0.129888019
402,L,4,-0.286890155,0.291220151,0.159478941,-0.104437254,0.04051088,0.283720835,0.179558379,0.175062996,1.6e-06,0.24491648,0.029379914,0.01613274,-0.033148577,0.047635815,0.006449767,-0.003638252,-0.182213421,0.013089488,0.025068619,-0.022485351,0.019541251,0.208152696,0.045798537,0.044943618,0.023942438,0.698973749,0.213730331,0.189356402,0.005160024,0.4905782,0.132325984,0.10248213,0.007681075,0.498275143,0.167840663,0.146809135
402,L,5,-0.370661787,0.251048346,0.180146853,-0.153582291,0.03819151,0.283720835,0.184219808,0.180955356,6.15e-06,0.128336115,0.019544822,0.01446779,-0.033148577,0.047635815,0.00735448,-0.004412211,-0.182213421,0.019588044,0.02528635,-0.02294703,0.019541251,0.208152696,0.047705198,0.046950953,0.017728348,0.584226301,0.179312452,0.155294576,0.005529616,0.408403393,0.11289571,0.091029825,0.007197095,0.47023676,0.139310855,0.11333378
402,L,6,-0.389059706,-0.012991662,0.19428968,-0.170434885,0.03819151,0.23245263,0.184876604,0.183082062,2.58e-05,0.128336115,0.018623673,0.014355626,-0.019306518,0.01262099,0.006666336,-0.003792479,-0.044660111,0.019588044,0.02549278,-0.023755478,0.028151265,0.06476251,0.048202283,0.047751892,0.017728348,0.314455239,0.124850502,0.112953665,0.004224984,0.207585908,0.088515217,0.071529811,0.007197095,0.274165587,0.088049442,0.076038712
402,L,7,-0.633379875,-0.009348272,0.234017472,-0.179298191,0.043588948,0.213596561,0.181583451,0.180469039,2.87e-05,0.1153814,0.015380913,0.012840575,-0.017862006,0.016004718,0.005545315,-0.002926784,-0.042843284,0.013840188,0.026093122,-0.024788814,0.023367482,0.06416914,0.048029828,0.047592388,0.04537865,0.502761268,0.16997753,0.145292549,0.004224984,0.435687477,0.133680521,0.087744062,0.026209222,0.413928168,0.104985137,0.094492582
402,L,8,-0.633379875,-0.009348272,0.293567361,-0.249289335,0.047708871,0.236697644,0.184612126,0.183610477,2.87e-05,0.1153814,0.014836638,0.012009921,-0.017862006,0.016004718,0.005108839,-0.002635103,-0.081865862,0.013840188,0.023387754,-0.02152015,0.02017623,0.087360539,0.044574152,0.043897241,0.045516822,0.502761268,0.228667049,0.2104473,0.005546962,0.435687477,0.207151374,0.171004046,0.015624575,0.413928168,0.096834539,0.082614394
402,L,9,-0.532324853,0.413709493,0.308802587,-0.206510501,0.036768039,0.261045545,0.181971424,0.179680304,1.03e-05,0.327536891,0.030773143,0.017966598,-0.025729494,0.011205224,0.005619762,-0.002844265,-0.081865862,0.044212347,0.021732043,-0.019420161,0.019544497,0.100951569,0.042497739,0.041803364,0.086448592,0.596285649,0.316160301,0.300129822,0.016211351,0.568078666,0.287939689,0.268712511,0.014742179,0.488786313,0.130568262,0.106938583
402,L,10,-0.532324853,0.413709493,0.225005998,-0.064420602,0.036768039,0.261045545,0.180077414,0.176842042,1.03e-05,0.327536891,0.033321606,0.020998529,-0.025729494,0.011205224,0.006819977,-0.003668202,-0.081394534,0.044212347,0.026874857,-0.024534727,0.019544497,0.100951569,0.04791315,0.047095987,0.017182603,0.63388983,0.321060628,0.294857407,0.013320809,0.568078666,0.291214118,0.261733591,0.007810487,0.488786313,0.135182338,0.110976975
