participant,condition,window_index,head_rotation_rad_min,head_rotation_rad_max,head_rotation_rad_rms,head_rotation_rad_mean,blink_aperture_min,blink_aperture_max,blink_aperture_rms,blink_aperture_mean,mouth_aperture_min,mouth_aperture_max,mouth_aperture_rms,mouth_aperture_mean,pupil_dx_min,pupil_dx_max,pupil_dx_rms,pupil_dx_mean,pupil_dy_min,pupil_dy_max,pupil_dy_rms,pupil_dy_mean,pupil_metric_min,pupil_metric_max,pupil_metric_rms,pupil_metric_mean,center_face_magnitude_min,center_face_magnitude_max,center_face_magnitude_rms,center_face_magnitude_mean,center_face_x_min,center_face_x_max,center_face_x_rms,center_face_x_mean,center_face_y_min,center_face_y_max,center_face_y_rms,center_face_y_mean
427,H,1,-0.651573142,0.062816329,0.130524917,-0.107581991,0.05691974,0.374482414,0.135823456,0.133565176,8.49e-06,0.211764679,0.045347321,0.025784274,-0.144751765,0.015193961,0.019213737,-0.008705368,-0.302267504,0.020306313,0.032564174,-0.018656091,0.013394077,0.33605782,0.054689205,0.046791699,0.015270333,0.684017778,0.186766774,0.144576083,0.003048859,0.290708439,0.099378683,0.077322315,0.006892241,0.641225777,0.158131923,0.106104319
427,H,2,-0.651573142,0.109000751,0.105029805,-0.069176118,0.053029624,0.374482414,0.140505191,0.13830185,1.13e-06,0.202230946,0.040338865,0.022621951,-0.159745962,0.015193961,0.015764363,-0.006703194,-0.28022585,0.020147769,0.027581695,-0.016831395,0.014504645,0.337515245,0.050433408,0.044774291,0.01528413,0.684017778,0.187184562,0.154840553,0.003048859,0.287965539,0.114095474,0.090098768,0.007054883,0.641225777,0.148392328,0.106871566
427,L,0,-0.360407563,0.108548977,0.100990497,-0.073689933,0.023204598,0.347861676,0.139264202,0.135448455,1.61e-05,0.191249483,0.032360322,0.016955211,-0.183037336,0.01434895,0.015777025,-0.007205393,-0.288075727,0.037877514,0.029341043,-0.017991285,0.018184451,0.368800314,0.052002791,0.046151114,0.014442688,0.669313828,0.247769386,0.205926971,0.003154937,0.223471878,0.090587793,0.072295284,0.008159789,0.640651189,0.230615525,0.178825848
427,L,1,-0.360407563,0.079343192,0.134523445,-0.122229754,0.028848884,0.347861676,0.143298098,0.140573807,1.06e-06,0.18775584,0.027505055,0.014937411,-0.183037336,0.016749319,0.01398122,-0.007352692,-0.288075727,0.024864776,0.026681413,-0.017425379,0.020074676,0.368800314,0.049600625,0.045240262,0.014442688,0.669313828,0.149811814,0.126398298,0.003705882,0.223471878,0.085266248,0.072939975,0.005022811,0.640651189,0.123179732,0.091860999
427,L,2,-0.281619296,0.006500706,0.136391576,-0.127227022,0.032516075,0.191892308,0.136963045,0.134112637,1.06e-06,0.147729969,0.019168091,0.01198993,-0.093190899,0.016749319,0.007209534,-0.00524569,-0.151658076,0.024765669,0.020131676,-0.014547603,0.017100581,0.195096772,0.041524343,0.040588743,0.020526478,0.39597027,0.131300558,0.120405467,0.002805312,0.280571194,0.089736855,0.079188722,0.005022811,0.33118209,0.095849535,0.08407279
427,M,0,-0.277087908,0.116889594,0.1013581,-0.06774454,0.033876146,0.287535455,0.118034654,0.114614335,2.88e-06,0.201427486,0.037167555,0.024766577,-0.174151181,0.024014753,0.017058395,-0.007792439,-0.313661052,0.047688197,0.03060226,-0.015277751,0.015744717,0.355002771,0.052796667,0.04516858,0.055205881,0.779386414,0.37939363,0.313784126,0.004704549,0.312924359,0.118173082,0.089140666,0.019104206,0.77402465,0.36051997,0.283766152
427,M,1,-0.237424379,0.116889594,0.136701805,-0.116833366,0.037607672,0.287535455,0.124793821,0.123011942,2.1e-05,0.201427486,0.036037693,0.022778383,-0.174151181,0.024014753,0.016812096,-0.007444535,-0.313661052,0.047688197,0.03156673,-0.017254802,0.008631464,0.355002771,0.051545717,0.043452539,0.014932371,0.768750107,0.23299828,0.174178575,0.00300897,0.313596095,0.101155552,0.070505518,0.009037214,0.709147213,0.209894623,0.150192795
427,M,2,-0.237424379,-0.011159922,0.145383271,-0.138932564,0.037607672,0.171099642,0.128057932,0.126703071,1.17e-06,0.199579243,0.036619533,0.018634098,-0.072813169,0.012488501,0.008036521,-0.006096447,-0.178806659,0.018722597,0.018089618,-0.013769939,0.008631464,0.201089342,0.041135574,0.040334873,0.014064336,0.590011199,0.12883344,0.097955436,0.00300897,0.313596095,0.068671872,0.049540812,0.00745253,0.533630286,0.109005638,0.078897718
428,H,0,-0.062331772,0.107036724,0.035959317,0.026914091,0.020554264,0.198900045,0.161776618,0.158299538,0.00427157,0.139888429,0.061468973,0.056933393,-0.014276939,0.009180222,0.00423112,-0.001364785,-0.036783496,0.021086453,0.013308915,-0.008769449,0.02772866,0.060928281,0.045066724,0.04476593,0.010558972,0.326355832,0.120074409,0.102306473,0.003883885,0.199172039,0.069281167,0.059802647,0.004843235,0.317020195,0.098071319,0.072735807
428,H,1,-0.062331772,0.09060001,0.027743711,0.021826826,0.020554264,0.203007831,0.164334529,0.161191047,0.007704512,0.180712987,0.077389234,0.071993821,-0.015676418,0.008640497,0.005108439,-0.002488209,-0.037727481,0.021086453,0.017210379,-0.01365922,0.030438562,0.060792654,0.046638711,0.046306594,0.010558972,0.326355832,0.083948913,0.06952852,0.004715783,0.127219321,0.055275186,0.046684313,0.004843235,0.317020195,0.063182859,0.043255692
428,H,2,-0.035926001,0.077837147,0.021274485,0.01661056,0.022255698,0.209958194,0.166186821,0.164005331,0.007704512,0.180712987,0.076380109,0.069864415,-0.017380688,0.007252022,0.005887106,-0.004168848,-0.040604322,0.020728818,0.018478237,-0.015258847,0.025823726,0.062303022,0.047036828,0.046664356,0.012706102,0.199143283,0.077067162,0.067623468,0.003261224,0.136335171,0.054077212,0.045062439,0.006119884,0.170764184,0.054909039,0.043508585
428,L,0,-0.0825225,0.084620006,0.037174064,0.018522012,0.019530716,0.203816223,0.163612778,0.161155917,0.012259264,0.181860537,0.065125178,0.059625444,-0.013740809,0.010822481,0.005085077,-0.003338758,-0.037288943,0.023065165,0.012083266,-0.007161525,0.028912882,0.062959988,0.045632477,0.04538583,0.00746047,0.30931587,0.09996393,0.087489712,0.002608505,0.173337549,0.06732869,0.0578152,0.005643161,0.296950747,0.073889342,0.057884689
428,L,1,-0.102461977,0.103626239,0.034401856,-0.010357734,0.030455691,0.212608964,0.169072867,0.167271681,0.012259264,0.20288108,0.066057459,0.058179446,-0.015526398,0.012928245,0.005234183,-0.003703536,-0.041794392,0.023065165,0.011102366,-0.007953117,0.026276313,0.063208187,0.046210625,0.046031498,0.00746047,0.275879921,0.079283126,0.068431464,0.002608505,0.207826449,0.049766092,0.036791902,0.005197095,0.260882896,0.061718313,0.050533858
428,L,2,-0.102461977,0.103626239,0.027429309,-0.020144089,0.039070268,0.212608964,0.170673983,0.169456577,0.013969729,0.20288108,0.052851813,0.045067792,-0.015526398,0.012928245,0.004875689,-0.003682844,-0.041794392,0.018321172,0.009899047,-0.006879644,0.026276313,0.063208187,0.046764756,0.04665338,0.008202352,0.245304576,0.064952685,0.055596174,0.002592356,0.207826449,0.042823608,0.031782753,0.005197095,0.210877844,0.048836357,0.039905138
428,M,0,-0.041462993,0.096539547,0.03385718,0.022648041,0.022505812,0.200894791,0.162862658,0.160504977,0.000310935,0.162893151,0.041808028,0.036648983,-0.01659932,0.008914697,0.004378448,-0.001762829,-0.04161922,0.021199025,0.013971093,-0.009279386,0.018931348,0.059382111,0.041488113,0.040907458,0.013651681,0.22666688,0.1044643,0.09581476,0.005365626,0.155059859,0.082519289,0.07318848,0.006285314,0.218626887,0.064057451,0.045752928
428,M,1,-0.024876305,0.097097323,0.042748577,0.034137516,0.022505812,0.19896282,0.159906254,0.157690572,0.004919984,0.18825478,0.056369769,0.048637354,-0.01659932,0.008856104,0.004798573,-0.002651717,-0.04161922,0.023976099,0.014216822,-0.010853344,0.02479688,0.059382111,0.045133036,0.044760518,0.013651681,0.22666688,0.095158999,0.085914969,0.002454583,0.155059859,0.065454272,0.053758702,0.007190844,0.218626887,0.069072233,0.055129467
428,M,2,-0.026242678,0.098643218,0.044502716,0.038055767,0.039356826,0.19896282,0.160550862,0.158509401,0.002921479,0.18825478,0.060634194,0.050713,-0.014087728,0.008856104,0.004440014,-0.002592879,-0.034377148,0.024506513,0.012144682,-0.009021587,0.027931513,0.060136746,0.04626925,0.045989085,0.011833644,0.231767332,0.08227591,0.073218712,0.002026285,0.163661753,0.057012722,0.046541208,0.007493128,0.197534218,0.059320104,0.04979382
429,H,0,-0.093336401,0.410489954,0.070667355,0.025462553,0.010219218,0.204665874,0.137950113,0.125388831,6.04e-06,0.398613443,0.096677331,0.060658528,-0.018958187,0.010786151,0.007779715,-0.005166566,-0.053498862,0.022283829,0.020736374,-0.013257527,0.019090729,0.073685846,0.042697478,0.041576137,0.019179883,0.871799359,0.263973008,0.231635622,0.002832314,0.185322186,0.073663957,0.059692087,0.009534118,0.866494922,0.25348643,0.21687755
429,H,1,-0.108179951,0.089135969,0.035778211,-0.000700914,0.006834157,0.215812087,0.139933201,0.129830312,3.93e-07,0.427457899,0.120407713,0.08459424,-0.018958187,0.011798302,0.007427133,-0.005398086,-0.053802278,0.022283829,0.021289782,-0.013132588,0.017724407,0.073685846,0.04319648,0.041964249,0.017977673,0.668332767,0.256842256,0.226914263,0.004899844,0.300494789,0.086532586,0.068357574,0.010490733,0.65912747,0.2418265,0.207013357
429,H,2,-0.121586046,0.114771083,0.036148154,0.004079312,0.006834157,0.215812087,0.143042595,0.135012415,3.93e-07,0.427457899,0.118763299,0.083628416,-0.020709822,0.011798302,0.008199789,-0.005919053,-0.053802278,0.019972413,0.021575646,-0.014716227,0.017724407,0.070071188,0.044844929,0.043867013,0.014002029,0.744594163,0.233029067,0.190731239,0.004269736,0.300494789,0.079975276,0.063381869,0.009697344,0.741185817,0.218875538,0.168694293
