participant,condition,window_index,window_start_s,window_end_s,center_face_magnitude_mean_abs_vel,center_face_magnitude_mean_abs_acc,center_face_magnitude_rms,avg_pupil_magnitude_mean_abs_vel,avg_pupil_magnitude_mean_abs_acc,avg_pupil_magnitude_rms,avg_pupil_x_mean_abs_vel,avg_pupil_x_mean_abs_acc,avg_pupil_x_rms,avg_pupil_y_mean_abs_vel,avg_pupil_y_mean_abs_acc,avg_pupil_y_rms,blink_dist_mean_abs_vel,blink_dist_mean_abs_acc,blink_dist_rms,head_rotation_angle_mean_abs_vel,head_rotation_angle_mean_abs_acc,head_rotation_angle_rms,mouth_dist_mean_abs_vel,mouth_dist_mean_abs_acc,mouth_dist_rms,center_face_x_mean_abs_vel,center_face_x_mean_abs_acc,center_face_x_rms,center_face_y_mean_abs_vel,center_face_y_mean_abs_acc,center_face_y_rms
473,M,4,120,179.9833333,2.365855954,104.2006404,0.10765313,0.121653042,2.952291654,0.089939466,0.115037699,2.833818481,0.084656992,0.196402167,5.876702465,0.079249794,0.397705534,14.8956232,0.064767559,0.665740674,25.66963612,0.135549125,0.295566755,12.71412438,0.018544729,0.735065532,29.48204545,0.121343482,0.81013784,31.43093396,0.119918746
473,M,5,150,209.9833333,2.438263903,109.0908751,0.104083614,0.121832376,2.890761361,0.087649761,0.115772103,2.836319745,0.087133212,0.199405498,5.941571303,0.074563408,0.403755655,15.1407937,0.063146935,0.674038841,26.49606807,0.133228681,0.295400133,12.51245693,0.018362335,0.73362165,29.05423766,0.119556689,0.818513324,31.48455585,0.11373715
473,M,6,180,239.9833333,2.366684844,106.7709159,0.100740988,0.107732811,2.760886221,0.077710677,0.106612573,2.83457093,0.079201907,0.211653284,6.496957911,0.076913498,0.443103344,17.08330366,0.066251717,0.730278701,28.69465993,0.137309749,0.295257754,12.3377284,0.050164743,0.715805588,28.46539473,0.137881615,0.856823439,32.09152182,0.113548804
473,M,7,210,269.9833333,2.467084428,111.1294423,0.111994336,0.123524367,3.02434682,0.076243123,0.121280623,3.115019017,0.08217947,0.258351988,7.829141481,0.105352623,0.537447469,20.43693149,0.07812502,0.768942125,29.79012185,0.127973694,0.585417213,20.22083477,0.12663651,0.815061586,32.28251027,0.198275738,0.922310381,34.24222825,0.114750381
473,M,8,240,299.9833333,2.499428351,112.3282865,0.112139325,0.132280598,3.034489079,0.097291031,0.125220073,2.99677909,0.097597958,0.262898045,7.803564901,0.081214451,0.558941702,21.72121727,0.083823985,0.760094434,29.33270838,0.122028797,0.576979457,20.22630856,0.119357293,0.822666211,32.4232374,0.169474582,0.898788632,34.51412119,0.103755439
473,M,9,270,329.9833333,2.314693765,102.6504027,0.10112049,0.118704695,2.831359475,0.068854948,0.113145016,2.776964622,0.065529197,0.237135069,6.971699196,0.096268048,0.532398298,20.91027753,0.068846173,0.728394535,27.33862938,0.122533719,0.275757383,12.19210754,0.018952363,0.697568112,28.37074999,0.089470791,0.836938702,32.15966657,0.110361853
473,M,10,300,359.9833333,2.383788089,106.4093943,0.104589776,0.135355122,3.082072783,0.109429304,0.124169054,3.045414518,0.10521186,0.267751023,7.515544922,0.123064581,0.560201469,21.45279778,0.086418363,0.704166589,26.41178749,0.144748937,0.458359761,16.78697646,0.100271371,0.752967211,30.37443064,0.105336696,0.841080741,32.20348928,0.119723993
473,M,11,330,389.9833333,2.438589173,110.1250085,0.104438139,0.143505733,3.165657359,0.096555118,0.128177584,3.152685428,0.088683858,0.26656827,7.373987952,0.113153555,0.513904004,19.76586282,0.079571851,0.700134995,27.14196972,0.165459644,0.469873289,17.23054946,0.099920303,0.746479778,30.08940746,0.12370396,0.837488168,32.03652186,0.120830164
473,M,12,360,419.9833333,2.314663566,104.0629606,0.099395644,0.136651177,3.168347567,0.092693414,0.124869074,3.16642807,0.089623641,0.235714799,6.514199312,0.083458902,0.470945523,17.72709615,0.070906457,0.679270243,26.25923188,0.156331712,0.283140775,12.46396774,0.018522926,0.66306692,26.93708863,0.09961371,0.810104652,30.46287838,0.114231475
473,M,13,390,449.9833333,2.295535093,103.1853028,0.102190508,0.141857522,3.249188512,0.092440974,0.131904683,3.215558964,0.090628875,0.250724886,7.039367158,0.078526038,0.540486539,20.25485842,0.076824741,0.711136267,27.29297313,0.125652733,0.421431109,15.32850647,0.099941406,0.681973919,27.59627123,0.090660379,0.794798795,30.5743826,0.1101616
