participant,condition,window_index,track_point_accuracy_baseline_min,track_point_accuracy_baseline_max,resman_point_accuracy_baseline_min,resman_point_accuracy_baseline_max,sysmon_point_accuracy_baseline_min,sysmon_point_accuracy_baseline_max,comms_point_accuracy_baseline_min,comms_point_accuracy_baseline_max,mean_sysmon_response_time_baseline_min,mean_sysmon_response_time_baseline_max,mean_comms_response_time_baseline_min,mean_comms_response_time_baseline_max,track_point_accuracy_baseline_range,resman_point_accuracy_baseline_range,sysmon_point_accuracy_baseline_range,comms_point_accuracy_baseline_range,mean_sysmon_response_time_baseline_range,mean_comms_response_time_baseline_range
439,M,2,0.8310980720871752,1.0,1.0,1.0,0.5555555555555556,1.0,0.0,1.0,1700.0,8400.0,0.0,3.5683119999999917,0.16890192791282477,0.0,0.4444444444444444,1.0,6700.0,3.5683119999999917
439,M,3,0.8310980720871752,1.0,1.0,1.0,0.5555555555555556,1.0,0.0,1.0,1700.0,8400.0,0.0,3.5683119999999917,0.16890192791282477,0.0,0.4444444444444444,1.0,6700.0,3.5683119999999917
439,M,4,0.8310980720871752,1.0,1.0,1.0,0.5555555555555556,1.0,0.0,1.0,1700.0,8400.0,0.0,3.5683119999999917,0.16890192791282477,0.0,0.4444444444444444,1.0,6700.0,3.5683119999999917
439,M,5,0.8310980720871752,1.0,1.0,1.0,0.5555555555555556,1.0,0.0,1.0,1700.0,8400.0,0.0,3.5683119999999917,0.16890192791282477,0.0,0.4444444444444444,1.0,6700.0,3.5683119999999917
439,M,6,0.8310980720871752,1.0,1.0,1.0,0.5555555555555556,1.0,0.0,1.0,1700.0,8400.0,0.0,3.5683119999999917,0.16890192791282477,0.0,0.4444444444444444,1.0,6700.0,3.5683119999999917
439,M,7,0.8310980720871752,1.0,1.0,1.0,0.5555555555555556,1.0,0.0,1.0,1700.0,8400.0,0.0,3.5683119999999917,0.16890192791282477,0.0,0.4444444444444444,1.0,6700.0,3.5683119999999917
439,M,8,0.8310980720871752,1.0,1.0,1.0,0.5555555555555556,1.0,0.0,1.0,1700.0,8400.0,0.0,3.5683119999999917,0.16890192791282477,0.0,0.4444444444444444,1.0,6700.0,3.5683119999999917
439,M,9,0.8310980720871752,1.0,1.0,1.0,0.5555555555555556,1.0,0.0,1.0,1700.0,8400.0,0.0,3.5683119999999917,0.16890192791282477,0.0,0.4444444444444444,1.0,6700.0,3.5683119999999917
439,M,10,0.8310980720871752,1.0,1.0,1.0,0.5555555555555556,1.0,0.0,1.0,1700.0,8400.0,0.0,3.5683119999999917,0.16890192791282477,0.0,0.4444444444444444,1.0,6700.0,3.5683119999999917
439,M,11,0.8310980720871752,1.0,1.0,1.0,0.5555555555555556,1.0,0.0,1.0,1700.0,8400.0,0.0,3.5683119999999917,0.16890192791282477,0.0,0.4444444444444444,1.0,6700.0,3.5683119999999917
