participant,condition,window_start,window_end,track_point_accuracy,resman_point_accuracy,sysmon_point_accuracy,comms_point_accuracy,mean_sysmon_response_time,mean_comms_response_time,window_index
455,M,30,90,0.9945515507124896,0.7833333333333333,1.0,1.0,1300.0,4.006143999999999,1
455,M,60,120,0.9945561139028476,0.7166666666666667,1.0,1.0,1400.0,4.283684000000008,2
434,L,0,60,0.9826123833757422,0.8,0.6,1.0,1266.6666666666667,3.2835800000000006,0
434,L,30,90,0.9465037910699242,0.6,0.6666666666666666,0.5,1400.0,3.2835800000000006,1
434,L,60,120,0.9323529411764706,0.7333333333333333,0.6666666666666666,1.0,1300.0,3.032796999999988,2
416,M,0,60,0.8432185815014517,0.9,1.0,0.6666666666666666,3400.0,4.502752500000003,0
416,M,30,90,0.9082951229679032,0.65,1.0,0.5,5400.0,4.577676000000004,1
416,M,60,120,0.9629941126997476,0.3833333333333333,0.75,0.0,5733.333333333333,0.0,2
437,L,0,60,0.9129529362765514,1.0,1.0,0.0,3050.0,0.0,0
437,L,30,90,0.9816360601001668,1.0,1.0,1.0,4400.0,3.722082999999998,1
437,L,60,120,0.990760184796304,1.0,1.0,1.0,5350.0,3.6223685,2
466,M,0,60,0.9462774957698816,0.4333333333333333,0.5,1.0,4200.0,4.830465999999999,0
466,M,30,90,0.9128053917438922,0.35,0.6666666666666666,0.5,4500.0,4.4657259999999965,1
466,M,60,120,0.9663865546218487,0.85,1.0,1.0,4800.0,5.161915999999991,2
467,H,0,60,0.8142375737152485,0.9833333333333332,0.2222222222222222,1.0,2600.0,3.157023500000003,0
467,H,30,90,0.8866108786610879,0.8666666666666667,0.0,1.0,0.0,3.097821500000002,1
467,H,60,120,0.8361204013377926,0.7666666666666667,0.0,1.0,0.0,2.889767499999998,2
450,H,0,60,0.8601694915254238,0.8333333333333334,1.0,1.0,5285.714285714285,5.074902000000002,0
450,H,30,90,0.8198653198653199,0.9166666666666666,1.0,0.0,4666.666666666667,5.232544000000004,1
450,H,60,120,0.7316764953664701,0.7833333333333333,0.8571428571428571,1.0,3900.0,4.205691000000002,2
442,L,0,60,0.9174777824798984,0.9166666666666666,1.0,0.0,2960.0,0.0,0
442,L,30,90,0.9655317360235393,0.8,1.0,0.0,1866.6666666666667,0.0,1
442,L,60,120,1.0,0.8833333333333333,1.0,0.0,1533.3333333333333,0.0,2
404,M,0,60,1.0,1.0,0.5555555555555556,1.0,5800.0,4.012492500000002,0
404,M,30,90,1.0,1.0,0.8,1.0,3850.0,4.310788000000002,1
404,M,60,120,1.0,1.0,1.0,1.0,2300.0,3.9860029999999966,2
448,H,0,60,0.8364700961940611,0.3166666666666666,0.2727272727272727,0.5,3920.0,3.7327319999999986,0
448,H,30,90,0.6365914786967418,0.0,0.5,0.0,3333.3333333333335,0.0,1
448,H,60,120,0.627664020058504,0.0,0.4,0.5,2500.0,4.343181999999999,2
476,H,0,60,0.8300461603021402,0.9166666666666666,0.3333333333333333,0.0,1400.0,0.0,0
476,H,30,90,0.9043659043659044,0.9166666666666666,0.3333333333333333,-1.0,1400.0,0.0,1
476,H,60,120,0.8885642737896494,1.0,0.0,0.0,0.0,0.0,2
456,L,0,60,1.0,0.75,1.0,1.0,2000.0,4.759437499999999,0
456,L,30,90,1.0,0.7166666666666667,0.0,0.0,0.0,0.0,1
456,L,60,120,0.9795492487479132,0.9666666666666668,0.0,0.0,0.0,0.0,2
452,M,0,60,0.9368770764119602,1.0,0.0,1.0,0.0,4.6441845,0
452,M,30,90,1.0,1.0,0.5714285714285714,0.0,3280.0,0.0,1
452,M,60,120,0.9178885630498532,1.0,0.4166666666666667,1.0,3025.0,3.5950519999999955,2
415,L,0,60,1.0,1.0,0.6,1.0,1850.0,3.052438000000002,0
415,L,30,90,0.9177617634590928,1.0,0.6666666666666666,1.0,1560.0,3.203633,1
415,L,60,120,0.9179357021996616,1.0,0.6,1.0,2400.0,3.3548279999999977,2
461,H,0,60,0.9868532654792196,1.0,1.0,0.6666666666666666,4700.0,3.182033999999997,0
461,H,30,90,1.0,1.0,1.0,1.0,5700.0,3.420057500000002,1
461,H,60,120,0.9874319229157938,0.9,1.0,1.0,3200.0,3.539223000000007,2
411,L,0,60,1.0,1.0,1.0,0.0,2866.6666666666665,0.0,0
411,L,30,90,1.0,1.0,0.5,0.5,1066.6666666666667,3.683535000000006,1
411,L,60,120,1.0,1.0,0.5,1.0,3050.0,3.5532280000000043,2
471,M,0,60,0.9314954051796156,0.7833333333333333,0.8333333333333334,1.0,3440.0,2.891257000000003,0
471,M,30,90,0.9312080536912752,0.7666666666666667,0.5,0.5,3800.0,2.891257000000003,1
471,M,60,120,0.947103274559194,0.8333333333333334,0.0,1.0,0.0,3.520817000000001,2
449,M,0,60,0.9748005039899202,1.0,1.0,0.5,1640.0,3.81926,0
449,M,30,90,1.0,1.0,0.6666666666666666,1.0,2760.0,3.164033500000002,1
