participant,condition,track_point_accuracy,resman_point_accuracy,sysmon_point_accuracy,comms_point_accuracy,mean_sysmon_response_time,mean_comms_response_time,window_index
450,H,0.9179444674678824,0.9166666666666666,0.7142857142857143,0.0,4200.0,0.0,1
450,H,0.9140821458507964,1.0,0.5,0.0,4133.333333333333,0.0,2
450,H,0.8907103825136612,1.0,1.0,0.0,3100.0,0.0,3
450,H,0.8134453781512605,1.0,1.0,0.5,4950.0,4.380943000000002,4
450,H,0.8688870151770658,1.0,1.0,0.8,5600.0,4.490098250000003,5
450,H,0.8845177664974619,1.0,0.875,0.6666666666666666,3828.571428571429,4.223995500000008,6
450,H,0.7643581081081081,1.0,0.9090909090909092,0.75,3760.0,4.496358333333338,7
450,H,0.8112970711297071,1.0,0.8181818181818182,1.0,3820.0,3.9470549999999776,8
450,H,0.8594730238393977,0.95,0.7777777777777778,1.0,2775.0,4.1516920000000255,9
450,H,0.919077568134172,0.95,1.0,1.0,1760.0,4.017644000000018,10
450,H,0.9204210526315788,1.0,0.625,1.0,2066.6666666666665,3.8835960000000114,11
450,H,0.7346509671993272,1.0,0.6666666666666666,0.5,3088.8888888888887,4.41756300000003,12
450,H,0.6638655462184874,1.0,0.9,0.6666666666666666,4022.222222222222,4.418770499999994,13
450,H,0.78125,1.0,1.0,1.0,4240.0,4.145471000000015,14
431,H,0.9611088125775756,1.0,1.0,0.5,2781.818181818182,3.1835710000000006,0
431,H,0.9525790349417638,0.9833333333333332,1.0,1.0,2900.0,3.525793499999992,1
431,H,0.9276453366792136,0.9833333333333332,1.0,0.6666666666666666,1840.0,4.337890999999999,2
431,H,0.7805695142378559,0.9166666666666666,1.0,0.6666666666666666,2125.0,4.254997500000002,3
431,H,0.673109243697479,0.9166666666666666,1.0,1.0,2225.0,3.633710333333331,4
431,H,0.8405371380612673,1.0,0.8333333333333334,0.5,1840.0,3.629300999999998,5
431,H,0.9718487394957984,0.8666666666666667,0.8333333333333334,1.0,2640.0,3.578302000000008,6
431,H,0.9402356902356902,0.85,0.8571428571428571,0.0,3733.3333333333335,0.0,7
431,H,0.8215785054575987,0.9833333333333332,0.875,0.0,2485.714285714286,0.0,8
431,H,0.7171717171717171,0.8833333333333333,1.0,1.0,1975.0,4.036375666666686,9
431,H,0.7421119057635676,0.45,1.0,1.0,2140.0,4.329116333333332,10
431,H,0.8998323554065382,0.5166666666666667,1.0,1.0,1825.0,4.0713159999999675,11
431,H,0.9367671691792296,0.95,1.0,0.0,1266.6666666666667,0.0,12
431,H,0.8968553459119497,1.0,1.0,0.5,1933.3333333333333,3.2740569999999707,13
431,H,0.898440792246102,1.0,1.0,1.0,1911.111111111111,3.5339549999999917,14
420,H,0.9296296296296296,1.0,1.0,1.0,1566.6666666666667,4.038732000000003,0
420,H,0.925268373245252,1.0,1.0,0.75,1525.0,3.2141326666666736,1
420,H,0.8758389261744967,1.0,1.0,0.8333333333333334,1820.0,2.922324800000004,2
420,H,0.879664570230608,1.0,1.0,0.75,2800.0,3.1127620000000085,3
420,H,0.9134089953762085,1.0,0.8333333333333334,1.0,3145.4545454545455,2.9232855000000058,4
420,H,0.9409531843104176,1.0,0.8,1.0,2622.222222222222,2.908716999999996,5
420,H,0.981132075471698,1.0,1.0,0.0,1750.0,0.0,6
420,H,0.9630252100840336,1.0,0.6,0.5,3950.0,4.2178200000000174,7
420,H,0.9164567590260284,1.0,0.5,1.0,4066.6666666666665,3.1628179999999873,8
420,H,0.94690635451505,1.0,0.6666666666666666,0.0,2520.0,0.0,9
420,H,0.9485570890840652,0.95,0.6666666666666666,0.6666666666666666,1120.0,2.720688999999993,10
420,H,0.9265939597315436,0.95,0.6,1.0,1925.0,2.2780229999999904,11
420,H,0.9781328847771236,1.0,0.6666666666666666,1.0,2460.0,2.0303030000000035,12
420,H,0.9853495186270406,0.9333333333333332,0.6666666666666666,0.0,2100.0,0.0,13
420,H,0.985361773316604,0.8333333333333334,0.7777777777777778,0.0,2200.0,0.0,14
427,M,0.9769357495881384,1.0,1.0,0.0,2360.0,0.0,0
427,M,0.9305901911886948,1.0,1.0,1.0,1977.7777777777776,3.4106220000000036,1
427,M,0.9013019739605208,1.0,1.0,1.0,1857.142857142857,3.4106220000000036,2
427,M,0.8383711167086482,1.0,1.0,0.0,1280.0,0.0,3
427,M,0.8393083087304934,1.0,1.0,0.0,2200.0,0.0,4
427,M,0.962463095740194,1.0,1.0,1.0,3266.6666666666665,3.8003319999999974,5
427,M,0.9679595278246206,1.0,1.0,0.6666666666666666,2200.0,4.115760499999993,6
427,M,0.9215851602023608,1.0,1.0,1.0,1500.0,3.6389952499999936,7
427,M,0.953762084909626,1.0,0.0,1.0,0.0,2.9289155000000022,8
427,M,0.9781328847771236,1.0,0.0,0.6666666666666666,0.0,3.592154499999964,9
427,M,0.978086809945217,1.0,1.0,0.75,3733.3333333333335,3.4569649999999683,10
427,M,0.8360724820901813,1.0,0.875,1.0,3800.0,3.8955930000000194,11
427,M,0.8362105263157895,1.0,0.8888888888888888,0.0,2475.0,0.0,12
427,M,0.9991568296795952,1.0,1.0,0.0,1133.3333333333333,0.0,13
427,M,0.8444632290786137,1.0,0.6666666666666666,1.0,3680.0,3.465559500000012,14
450,L,1.0,1.0,0.6666666666666666,0.0,2660.0,0.0,0
450,L,1.0,1.0,1.0,0.0,2260.0,0.0,1
